week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
0,Dasher,Rooney,19,,16,,,,,,,3,,,
0,Dasher,UPS,19,,9,,,,,5,5,,,,da-grizz
2,Donner,Chum Bucket,19,,14,,,,,5,,,,,"black-diamond, black-rock, the-grove"
0,Donner,Corner Kick,19,4,9,,,,3,,,3,,,"the-colosseum, the-ridge"
1,Donner,Corner Kick,19,7,9,,,,3,,,,,,"dmz, the-grove, the-ridge"
0,Dasher,Jellystone,18,6,6,,,,,,5,,1,,"the-colosseum, the-ridge"
3,Donner,Bedpan,18,,12,,,,,,5,,1,,"black-rock, the-colosseum, the-grove, the-silo"
0,Donner,Juanita,18,3,9,,,,3,,,3,,,"the-colosseum, the-ridge, the-silo"
0,Prancer,PFG,18,,15,,,,3,,,,,,
0,Prancer,Tinfoil,18,6,12,,,,,,,,,,"ravens-nest, the-colosseum, the-grove, the-ridge"
1,Comet,Shankapotomus,17,,9,,,,,,5,3,,,"the-colosseum, the-grove, the-silo"
0,Comet,Tighty Whities,17,,12,,,,,5,,,,,"da-grizz, the-colosseum, the-grove, the-olympiad"
2,Donner,Bedpan,17,,16,,,,,,,,1,,"black-diamond, the-ridge"
3,Donner,Hanger,17,,12,,,,,5,,,,,"the-colosseum, the-ridge, the-silo"
2,Prancer,Depends (3rdF Q),17,1,9,,,,,5,,,1,1,"black-rock, the-olympiad"
1,Prancer,The Vault,17,,6,,,,3,,5,3,,,da-grizz
2,Prancer,YellowPages,17,,12,,,,,5,,,,,"da-grizz, ravens-nest"
3,Rudolph,Foreclosure,17,,16,,,,,,,,1,,"black-diamond, da-grizz, the-colosseum, the-grove"
1,Comet,Pearl,16,,3,,,,,5,5,3,,,the-grove
3,Comet,Pull-up,16,,16,,,,,,,,,,"black-diamond, dmz, the-ridge, the-silo"
2,Cupid,Sparkler,16,,16,,,,,,,,,,"black-diamond, dmz, the-grove"
3,Cupid,Sparkler,16,,16,,,,,,,,,,"black-diamond, da-grizz, the-colosseum, the-grove"
3,Dancer,Hodl,16,,16,,,,,,,,,,"the-colosseum, the-ridge"
1,Dasher,Old Maid,16,,6,,,5,,,5,,,,"the-grove, the-silo"
3,Dasher,Zimmer,16,,9,,,,,5,,,1,1,"dmz, the-ridge"
3,Donner,Chum Bucket,16,,16,,,,,,,,,,"black-diamond, the-grove, the-ridge"
3,Donner,Mr. Kotter,16,,15,,,,,,,,1,,"the-colosseum, the-ridge"
0,Vixen,5-Putt,16,,15,,,,,,,,1,,the-ridge
1,Vixen,vern,16,4,12,,,,,,,,,,"the-colosseum, the-ridge"
3,Blitzen,Foundation,15,,9,,,,,5,,,1,,"the-grove, the-ridge, the-silo"
1,Blitzen,SkidMark,15,6,9,,,,,,,,,,"the-colosseum, the-grove"
1,Comet,Wing Stop (F3 Naperville),15,3,9,,,,3,,,,,,the-colosseum
1,Cupid,Duck Hunt,15,3,12,,,,,,,,,,"da-grizz, ravens-nest"
0,Dancer,HandsOn,15,,12,,,,3,,,,,,"black-rock, the-colosseum, the-olympiad"
2,Dasher,Scratch and Dent,15,,15,,,,,,,,,,"da-grizz, the-grove, the-ridge, the-silo"
0,Donner,Mr. Belding,15,6,9,,,,,,,,,,the-ridge
0,Prancer,Flo,15,6,9,,,,,,,,,,the-ridge
0,Rudolph,Backstreet,15,,9,,,,3,,,3,,,"black-rock, the-olympiad, the-ridge"
3,Rudolph,Napster,15,,15,,,,,,,,,,"da-grizz, the-colosseum, the-grove, the-olympiad"
1,Vixen,5-Putt,15,,15,,,,,,,,,,"the-colosseum, the-ridge"
1,Vixen,Blue Gill,15,,3,,,,3,,5,3,1,,the-silo
3,Vixen,Dilly Dilly,15,,15,,,,,,,,,,"the-colosseum, the-ridge"
3,Comet,Happy Camper,14,,9,,,,,5,,,,,"dmz, the-colosseum, the-ridge"
1,Comet,Six Sheets,14,,9,,,,,,5,,,,"black-rock, the-colosseum, the-grove"
0,Dancer,Martha Stewart,14,5,6,,,,3,,,,,,"da-grizz, the-ridge"
1,Dasher,Rooney,14,,9,,,,,,5,,,,
0,Dasher,Trifecta,14,9,,,,,,,5,,,,
2,Dasher,UPS,14,,9,,,,,5,,,,,da-grizz
0,Vixen,Scuba Steve,14,,9,,,,,5,,,,,"the-grove, the-olympiad, the-silo"
1,Vixen,Scuba Steve,14,,9,,,,,5,,,,,"ravens-nest, the-grove, the-olympiad"
0,Vixen,vern,14,2,12,,,,,,,,,,the-ridge
4,Comet,Pull-up,13,,12,,,,,,,,1,,"the-colosseum, the-ridge, the-silo"
0,Cupid,Singer,13,3,9,,,,,,,,1,,"the-colosseum, the-olympiad"
4,Cupid,Sparkler,13,,13,,,,,,,,,,"black-diamond, black-rock, the-colosseum, the-silo"
2,Dancer,Hodl,13,,13,,,,,,,,,,"black-diamond, da-grizz, the-ridge"
2,Dancer,Party in a bottle,13,,12,,,,,,,,1,,the-colosseum
2,Dancer,Sparky,13,,12,,,,,,,,1,,"da-grizz, el-coyote"
